   10000      1    6.1390e+02     1
  190110  Na 19    4.0000e-08     1
   1:   1.0000e+00   180100 3.2125e+05   P 
  200110  Na 20    4.4790e-01     2
   1:   7.9950e-01   200100 1.3892e+07   EC
   2:   2.0050e-01   160080 9.1623e+06   EC A 
  210110  Na 21    2.2490e+01     1
   1:   1.0000e+00   210100 3.5472e+06   EC
  220110  Na 22    8.2135e+07     1
   1:   1.0000e+00   220100 2.8430e+06   EC
  230110  Na 23      STABLE       0
  240110  Na 24    5.3989e+04     1
   1:   1.0000e+00   240120 5.5154e+06   B 
  240111  Na 24m1  2.0180e-02     2
   1:   5.0000e-04   240120 5.9858e+06   B 
   2:   9.9950e-01   240110 4.7221e+05   IT
  250110  Na 25    5.9100e+01     1
   1:   1.0000e+00   250120 3.8350e+06   B 
  260110  Na 26    1.0770e+00     1
   1:   1.0000e+00   260120 9.3540e+06   B 
  270110  Na 27    3.0100e-01     2
   1:   9.9870e-01   270120 9.0690e+06   B 
   2:   1.3000e-03   260120 2.6260e+06   B  N 
  280110  Na 28    3.0500e-02     1
   1:   1.0000e+00   280120 1.4030e+07   B 
  290110  Na 29    4.4900e-02     2
   1:   7.8500e-01   290120 1.3272e+07   B 
   2:   2.1500e-01   280120 9.6123e+06   B  N 
  300110  Na 30    4.8000e-02     4
   1:   6.8850e-01   300120 1.7266e+07   B 
   2:   3.0000e-01   290120 1.0909e+07   B  N 
   3:   1.1500e-02   280120 7.2370e+06   B  N  N 
   4:   5.5000e-07   260100 5.4698e+06   B  A 
  310110  Na 31    1.7000e-02     2
   1:   6.3000e-01   310120 1.5872e+07   B 
   2:   3.7000e-01   300120 1.3494e+07   B  N 
  320110  Na 32    1.3200e-02     3
   1:   6.8000e-01   320120 1.9721e+07   B 
   2:   2.4000e-01   310120 1.4211e+07   B  N 
   3:   8.0000e-02   300120 1.1833e+07   B  N  N 
  330110  Na 33    8.0000e-03     3
   1:   4.0000e-01   330120 1.9020e+07   B 
   2:   4.7000e-01   320120 1.7773e+07   B  N 
   3:   1.3000e-01   310120 1.1015e+07   B  N  N 
  340110  Na 34    5.5000e-03     2
   1:   8.5000e-01   340120 2.2728e+07   B 
   2:   1.5000e-01   330120 1.9795e+07   B  N 
  350110  Na 35    1.5000e-03     1
   1:   1.0000e+00   350120 2.2200e+07   B 
  360110  Na 36    1.8000e-07     1
   1:   1.0000e+00   360120 2.5500e+04   B 
  370110  Na 37    6.0000e-08     2
   1:   5.0000e-01   360120 2.5779e+07   B  N 
   2:   5.0000e-01   370120 2.4853e+07   B 
  190120  Mg 19    4.0000e-12     1
   1:   1.0000e+00   170100 7.5000e+05   P  P 
  200120  Mg 20    9.0800e-02     2
   1:   7.3000e-01   200110 1.0709e+07   EC
   2:   2.7000e-01   190100 8.5299e+06   EC P 
  210120  Mg 21    1.2200e-01     3
   1:   6.6900e-01   210110 1.3097e+07   EC
   2:   3.2600e-01   200100 1.0663e+07   EC P 
   3:   5.0000e-03   170090 6.5362e+06   EC A 
  220120  Mg 22    3.8755e+00     1
   1:   1.0000e+00   220110 4.7816e+06   EC
  230120  Mg 23    1.1317e+01     1
   1:   1.0000e+00   230110 4.0561e+06   EC
  240120  Mg 24      STABLE       0
  250120  Mg 25      STABLE       0
  260120  Mg 26      STABLE       0
  270120  Mg 27    5.6748e+02     1
   1:   1.0000e+00   270130 2.6100e+06   B 
  280120  Mg 28    7.5294e+04     1
   1:   1.0000e+00   280130 1.8318e+06   B 
  290120  Mg 29    1.3000e+00     1
   1:   1.0000e+00   290130 7.6130e+06   B 
  300120  Mg 30    3.3500e-01     1
   1:   1.0000e+00   300130 6.9804e+06   B 
  310120  Mg 31    2.3200e-01     2
   1:   9.8300e-01   310130 1.1765e+07   B 
   2:   1.7000e-02   300130 4.5837e+06   B  N 
  320120  Mg 32    8.6000e-02     2
   1:   9.4500e-01   320130 1.0150e+07   B 
   2:   5.5000e-02   310130 5.9275e+06   B  N 
  330120  Mg 33    9.0500e-02     2
   1:   8.3000e-01   330130 1.3384e+07   B 
   2:   1.7000e-01   320130 7.8847e+06   B  N 
  340120  Mg 34    2.0000e-02     1
   1:   1.0000e+00   340130 1.1608e+07   B 
  350120  Mg 35    7.0000e-02     2
   1:   4.8000e-01   350130 1.5860e+07   B 
   2:   5.2000e-01   340130 1.1013e+07   B  N 
  360120  Mg 36    3.9000e-03     1
   1:   1.0000e+00   360130 1.4430e+07   B 
  370120  Mg 37    2.6000e-07     1
   1:   1.0000e+00   370130 1.8480e+07   B 
  380120  Mg 38    2.6000e-07     2
   1:   5.0000e-01   380130 1.7864e+07   B 
   2:   5.0000e-01   370130 1.6979e+07   B  N 
  390120  Mg 39    1.8000e-07     1
   1:   1.0000e+00   380120 1.3000e+05   N 
  400120  Mg 40    1.7000e-07     2
   1:   5.0000e-01   390130 2.0768e+07   B  N 
   2:   5.0000e-01   400130 2.0633e+07   B 
  210130  Al 21    3.5000e-08     1
   1:   1.0000e+00   200120 2.2870e+06   P 
  220130  Al 22    5.9000e-02     3
   1:   3.9690e-01   220120 1.8601e+07   EC
   2:   6.0000e-01   210110 1.3097e+07   EC P 
   3:   3.1000e-03   180100 1.0458e+07   EC A 
  230130  Al 23    4.7000e-01     2
   1:   9.8780e-01   230120 1.2221e+07   EC
   2:   1.2200e-02   220110 4.6630e+06   EC P 
  240130  Al 24    2.0530e+00     1
   1:   1.0000e+00   240120 1.3878e+07   EC
  240131  Al 24m1  1.3000e-01     3
   1:   1.7470e-01   240120 1.4310e+07   EC
   2:   3.0000e-04   200100 4.9939e+06   EC A 
   3:   8.2500e-01   240130 4.2580e+05   IT
  250130  Al 25    7.1830e+00     1
   1:   1.0000e+00   250120 4.2766e+06   EC
  260130  Al 26    2.2627e+13     1
   1:   1.0000e+00   260120 4.0044e+06   EC
  260131  Al 26m1  6.3452e+00     1
   1:   1.0000e+00   260120 4.2327e+06   EC
  270130  Al 27      STABLE       0
  280130  Al 28    1.3448e+02     1
   1:   1.0000e+00   280140 4.6423e+06   B 
  290130  Al 29    3.9360e+02     1
   1:   1.0000e+00   290140 3.6797e+06   B 
  300130  Al 30    3.6200e+00     1
   1:   1.0000e+00   300140 8.5610e+06   B 
  310130  Al 31    6.4400e-01     1
   1:   1.0000e+00   310140 7.9950e+06   B 
  320130  Al 32    3.3000e-02     1
   1:   1.0000e+00   320140 1.3020e+07   B 
  330130  Al 33    4.1700e-02     2
   1:   9.1500e-01   330140 1.2077e+07   B 
   2:   8.5000e-02   320140 7.4802e+06   B  N 
  340130  Al 34    4.2000e-02     2
   1:   7.3000e-01   340140 1.6910e+07   B 
   2:   2.7000e-01   330140 9.4888e+06   B  N 
  350130  Al 35    3.8600e-02     2
   1:   5.9000e-01   350140 1.4141e+07   B 
   2:   4.1000e-01   340140 1.1755e+07   B  N 
  360130  Al 36    9.0000e-02     2
   1:   6.9000e-01   360140 1.8368e+07   B 
   2:   3.1000e-01   350140 1.2071e+07   B  N 
  370130  Al 37    1.0700e-02     1
