  370200  Ca 37    1.8110e-01     2
   1:   1.7900e-01   370190 1.1664e+07   EC
   2:   8.2100e-01   360180 9.8065e+06   EC P 
  380200  Ca 38    4.4000e-01     2
   1:   6.0000e-04   380190 6.7422e+06   EC
   2:   9.9940e-01   380191 6.6118e+06   EC
  390200  Ca 39    8.5960e-01     1
   1:   1.0000e+00   390190 6.5245e+06   EC
       0      0      STABLE       0
  410200  Ca 41    3.2200e+12     1
   1:   1.0000e+00   410190 4.2166e+05   EC
       0      0      STABLE       0
       0      0      STABLE       0
       0      0      STABLE       0
  450200  Ca 45    1.4050e+07     1
   1:   1.0000e+00   450210 2.5902e+05   B 
       0      0      STABLE       0
  470200  Ca 47    3.9190e+05     1
   1:   1.0000e+00   470210 1.9922e+06   B 
  480200  Ca 48    6.0000e+26     2
   1:   2.5000e-01   480210 2.7866e+05   B 
   2:   7.5000e-01   480220 4.2670e+06   B  B 
  490200  Ca 49    5.2310e+02     1
   1:   1.0000e+00   490210 5.2612e+06   B 
  500200  Ca 50    1.3900e+01     2
   1:   1.0000e-02   500210 4.9583e+06   B 
   2:   9.9000e-01   500211 4.7014e+06   B 
  510200  Ca 51    1.0000e+01     1
   1:   1.0000e+00   510210 6.8903e+06   B 
  520200  Ca 52    4.6000e+00     1
   1:   1.0000e+00   520210 5.9035e+06   B 
  400210  Sc 40    1.8230e-01     3
   1:   9.9543e-01   400200 1.4323e+07   EC
   2:   4.4000e-03   390190 5.9949e+06   EC P 
   3:   1.7000e-04   360180 7.2800e+06   EC A 
  410210  Sc 41    5.9630e-01     1
   1:   1.0000e+00   410200 6.4955e+06   EC
  420210  Sc 42    6.8080e-01     1
   1:   1.0000e+00   420200 6.4261e+06   EC
  420211  Sc 42m1  6.2000e+01     1
   1:   1.0000e+00   420200 7.0424e+06   EC
  430210  Sc 43    1.4010e+04     1
   1:   1.0000e+00   430200 2.2207e+06   EC
  440210  Sc 44    1.4290e+04     1
   1:   1.0000e+00   440200 3.6527e+06   EC
  440211  Sc 44m1  2.1100e+05     2
   1:   1.2000e-02   440200 3.9239e+06   EC
   2:   9.8800e-01   440210 2.7090e+05   IT
       0      0      STABLE       0
  450211  Sc 45m1  3.1800e-01     1
   1:   1.0000e+00   450210 1.2400e+04   IT
  460210  Sc 46    7.2390e+06     1
   1:   1.0000e+00   460220 2.3665e+06   B 
  460211  Sc 46m1  1.8750e+01     1
   1:   1.0000e+00   460210 1.4253e+05   IT
  470210  Sc 47    2.8937e+05     1
   1:   1.0000e+00   470220 6.0077e+05   B 
  480210  Sc 48    1.5720e+05     1
   1:   1.0000e+00   480220 3.9883e+06   B 
  490210  Sc 49    3.4310e+03     1
   1:   1.0000e+00   490220 2.0017e+06   B 
  500210  Sc 50    1.0250e+02     1
   1:   1.0000e+00   500220 6.8832e+06   B 
  500211  Sc 50m1  3.5000e-01     2
   1:   2.5000e-02   500220 7.1401e+06   B 
   2:   9.7500e-01   500210 2.5690e+05   IT
  510210  Sc 51    1.2400e+01     1
   1:   1.0000e+00   510220 6.5030e+06   B 
  520210  Sc 52    8.2000e+00     1
   1:   1.0000e+00   520220 9.3023e+06   B 
  540210  Sc 54    2.9000e-01     1
   1:   1.0000e+00   540220 1.1998e+07   B 
  400220  Ti 40    5.3300e-02     2
   1:   2.0000e-02   400210 1.1673e+07   EC
   2:   9.8000e-01   390200 1.1143e+07   EC P 
  410220  Ti 41    8.0400e-02     1
   1:   1.0000e+00   400200 1.1860e+07   EC P 
  420220  Ti 42    1.9900e-01     1
   1:   1.0000e+00   420210 7.0165e+06   EC
  430220  Ti 43    5.0900e-01     1
   1:   1.0000e+00   430210 6.8670e+06   EC
  440220  Ti 44    1.8900e+09     1
   1:   1.0000e+00   440210 2.6741e+05   EC
  450220  Ti 45    1.1090e+04     2
   1:   9.9984e-01   450210 2.0620e+06   EC
   2:   1.6000e-04   450211 2.0496e+06   EC
       0      0      STABLE       0
       0      0      STABLE       0
       0      0      STABLE       0
       0      0      STABLE       0
       0      0      STABLE       0
  510220  Ti 51    3.4560e+02     1
   1:   1.0000e+00   510230 2.4718e+06   B 
  520220  Ti 52    1.0200e+02     1
   1:   1.0000e+00   520230 1.9748e+06   B 
  530220  Ti 53    3.2700e+01     1
   1:   1.0000e+00   530230 5.0200e+06   B 
  540220  Ti 54    1.5000e+00     1
   1:   1.0000e+00   540230 4.2950e+06   B 
  550220  Ti 55    1.3000e+00     1
   1:   1.0000e+00   550230 7.4761e+06   B 
  570220  Ti 57    9.8000e-02     1
   1:   1.0000e+00   570230 1.0361e+07   B 
  440230   V 44    1.1100e-01     1
   1:   1.0000e+00   440220 1.3432e+07   EC
  440231   V 44m1  1.5000e-01     1
   1:   1.0000e+00   440220 1.3700e+07   EC
  450230   V 45    5.4700e-01     1
   1:   1.0000e+00   450220 7.1286e+06   EC
  460230   V 46    4.2250e-01     1
   1:   1.0000e+00   460220 7.0524e+06   EC
  460231   V 46m1  1.0200e-03     1
   1:   1.0000e+00   460230 8.0110e+05   IT
